text	text_1	label
that is accurate	This is accurate	yes
i need to switch to a new insurance plan	I need a new insurance plan	insurance_change
please put annie's baby shower on march 30 in my calendar	Please put Annie's baby shower on my calendar on March 30	calendar_update
what's the average time it takes for a new card to arrive	What is the average time for new cards to arrive	replacement_card_duration
certainly not	Of course not	no
will i need a visa to go to moldova	Do I need a visa to go to Moldova	international_visa
yes, that's right	Yes, that's right	yes
has there been any changes in the status of my credit card application	Is there any change in my credit card application status	application_status
how long should i fry an egg for	How long should I fry an egg	cook_time
how long is the drive from sfo to fisherman's wharf	How long is the drive from San Francisco to Fisherman's wharf	distance
i'm too drunk to drive and need an uber home	I'm too drunk to drive. I need a Uber home	uber
what is my annual percentage rate	What's my annual interest rate	interest_rate
call aj	Call AJ	make_call
that is incorrect	This is not true	no
i need to get some assistance figuring out how to rollover my 401k, please	I need some help figuring out how to roll my 401k, please	rollover_401k
please put babysitting on my to do list	Please put the baby sitter on my to-do list	todo_list_update
is there a charge to use my card in france	Is there a charge for using my card in France	international_fees
are you working for me or what	Are you working for me	who_do_you_work_for
i need to know when i was paid last	I want to know when I was last paid	payday
what's the updated status of my order	How is my order updated	order_status
what should i do now that my car battery is dead	My car battery is dead. What should I do	jump_start
what do i do to set up a vacation	How do I plan my vacation	pto_request
i vote yes	I voted for it	yes
tell me the number of points on my visa card	Tell me the number of points on visa card	rewards_balance
i'd like to add pancake mix to my shopping list if it's not already there	If there's no pancake yet, I'd like to add it to my shopping list	shopping_list_update
do i have transaction fees if i use my american card internationally	If I use my American card internationally, is there a transaction fee	international_fees
i wanna switch to the male voice	I want to switch to a male voice	change_accent
find my current location	Find my current location	current_location
what timezone is phoenix in	What time zone is Phoenix in	timezone
i'm looking for a flight from billings to cleveland on may 2 and a return on may 9	I'd like to book a flight from billings to Cleveland on May 2 and return on May 9	book_flight
would you mind switching to whisper mode	Would you mind changing to whisper mode	whisper_mode
how many calories are in oranges	How many calories are there in an orange	calories
do i have brush my teeth on my todo list	Do I brush my teeth on my to-do list	todo_list
can i ask your name	May I have your name, please?	what_is_your_name
it could be either	It could be	maybe
what exactly is my credit limit	How much is my credit line	credit_limit
can you let me listen to elvis	Can you let me listen to Elvis Presley	play_music
visa's are hard to get do i need one when i travel to israel	It's hard to get a visa. Do I need a visa to travel to Israel	international_visa
clear my calendar on march 1st	March 1 clear calendar	calendar_update
let me pick your brain what do you think we should do for dinner tonight	Let me think about what we should do tonight	meal_suggestion
i'm out of bananas; add to shopping list	I have no bananas; Add to shopping list	shopping_list_update
is my day off request approved	Has my request for leave been approved	pto_request_status
roll the five sided die	Rolling Pentagon die	roll_dice
what's the timezone over there	What's the time zone over there	timezone
i would like to change my insurance from a ppo to an hmo plan	I want to change my insurance from PPO to HMO	insurance_change
i wanna know when should i get my tires changed next	I want to know when I should change the tire next time	tire_change
